Wife's_age,Wife's_education,Husband's_education,Number_of_children_ever_born,Wife's_religion,Wife's_now_working?,Husband's_occupation,Standard_of_living_index,Media_exposure,Contraceptive_method_used
0.22580645161290322,Low-2,High-3,0.2727272727272727,Islam,No,Low-2,High-3,Good,No-use
0.9032258064516129,Low-1,High-3,0.9090909090909091,Islam,No,High-3,High-4,Good,No-use
0.8387096774193549,Low-2,High-3,0.6363636363636364,Islam,No,High-3,High-4,Good,No-use
0.8064516129032258,High-3,Low-2,0.8181818181818182,Islam,No,High-3,High-3,Good,No-use
0.6129032258064516,High-3,High-3,0.7272727272727273,Islam,No,High-3,Low-2,Good,No-use
0.06451612903225806,High-4,High-4,0.0,Islam,No,High-3,High-3,Good,No-use
0.6774193548387096,Low-2,High-3,0.5454545454545454,Islam,No,High-3,Low-2,Good,No-use
0.12903225806451613,High-3,High-3,0.09090909090909091,Islam,Yes,High-3,Low-2,Good,No-use
0.3225806451612903,Low-2,High-3,0.2727272727272727,Islam,No,High-3,High-4,Good,No-use
0.9032258064516129,Low-1,Low-1,0.7272727272727273,Islam,No,Low-2,Low-2,Not good,No-use
0.6774193548387096,Low-1,High-3,0.18181818181818182,Islam,Yes,High-3,High-3,Not good,No-use
0.8064516129032258,Low-1,High-4,0.36363636363636365,Islam,No,Low-1,High-3,Good,No-use
0.8709677419354839,High-4,High-4,0.09090909090909091,Islam,Yes,Low-1,High-4,Good,No-use
0.8064516129032258,Low-2,High-4,0.09090909090909091,Islam,Yes,High-3,High-3,Good,No-use
0.5483870967741935,High-4,High-4,0.18181818181818182,Non-Islam,No,Low-1,High-4,Good,No-use
0.5483870967741935,High-4,High-4,0.18181818181818182,Islam,Yes,Low-1,High-3,Good,No-use
0.1935483870967742,High-4,High-4,0.18181818181818182,Islam,No,Low-1,High-4,Good,No-use
0.3225806451612903,High-4,High-4,0.09090909090909091,Islam,No,Low-1,Low-2,Good,No-use
0.9354838709677419,High-3,Low-2,1.0,Islam,Yes,Low-2,Low-2,Not good,No-use
0.5483870967741935,High-4,High-4,0.2727272727272727,Non-Islam,No,Low-1,Low-2,Good,No-use
0.5161290322580645,High-4,High-4,0.45454545454545453,Islam,No,High-3,High-3,Good,No-use
0.25806451612903225,High-3,High-3,0.09090909090909091,Islam,No,High-3,Low-2,Good,No-use
0.2903225806451613,High-4,High-4,0.09090909090909091,Islam,Yes,Low-1,High-4,Good,No-use
1.0,Low-1,High-3,0.36363636363636365,Islam,No,High-3,High-3,Not good,No-use
0.6129032258064516,High-4,High-4,0.18181818181818182,Islam,No,High-3,High-3,Good,No-use
0.6774193548387096,High-3,High-4,0.18181818181818182,Non-Islam,No,Low-2,High-4,Good,No-use
0.8709677419354839,Low-1,Low-2,0.6363636363636364,Islam,No,High-3,High-4,Good,No-use
0.8709677419354839,Low-2,Low-2,0.09090909090909091,Islam,Yes,High-3,Low-2,Good,No-use
0.7096774193548387,High-3,High-3,0.09090909090909091,Non-Islam,No,High-3,High-4,Good,No-use
0.8387096774193549,High-4,High-4,0.2727272727272727,Non-Islam,No,Low-1,High-4,Good,Long-term
0.5806451612903226,High-4,High-4,0.2727272727272727,Islam,No,Low-2,High-3,Good,Long-term
