Whether_of_not_the_TA_is_a_native_English_speaker,Course_intructor,Course,Summer_or_regular_semester,Class_size,Class_attribute
non-English speaker,cat-14,cat-15,Regular,0.5140383286538904,Medium
non-English speaker,cat-5,cat-2,Regular,1.5431440917247425,Low
non-English speaker,cat-23,cat-3,Regular,-0.4430300310020022,High
non-English speaker,cat-13,cat-1,Regular,-0.30924628180279135,High
non-English speaker,cat-6,cat-15,Regular,0.6169489049609757,High
non-English speaker,cat-7,cat-25,Regular,0.9256806338822313,Medium
non-English speaker,cat-11,cat-15,Regular,1.8518758206459982,Low
non-English speaker,cat-5,cat-2,Regular,0.4111277523468052,Low
English speaker,cat-13,cat-3,Summer,-1.6470837737948991,High
non-English speaker,cat-23,cat-3,Summer,-1.3383520448736435,High
non-English speaker,cat-14,cat-22,Regular,-0.4430300310020022,High
non-English speaker,cat-6,cat-17,Regular,0.20530659973263474,Medium
non-English speaker,cat-6,cat-17,Regular,0.4111277523468052,Medium
English speaker,cat-14,cat-15,Regular,-0.1034251291886209,Low
non-English speaker,cat-8,cat-7,Regular,-1.0296203159523878,Low
non-English speaker,cat-14,cat-15,Regular,0.30821717603972,Low
non-English speaker,cat-14,cat-23,Regular,-1.6470837737948991,Medium
non-English speaker,cat-14,cat-15,Regular,-0.9267097396453027,Medium
non-English speaker,cat-16,cat-20,Regular,-0.4430300310020022,Low
English speaker,cat-18,cat-7,Regular,1.5431440917247425,Low
