Whether_of_not_the_TA_is_a_native_English_speaker,Course_intructor,Course,Summer_or_regular_semester,Class_size,Class_attribute
non-English speaker,cat-14,cat-15,Regular,0.6176470588235294,Medium
non-English speaker,cat-5,cat-2,Regular,0.9117647058823529,Low
non-English speaker,cat-23,cat-3,Regular,0.34411764705882353,High
non-English speaker,cat-13,cat-1,Regular,0.38235294117647056,High
non-English speaker,cat-6,cat-15,Regular,0.6470588235294118,High
non-English speaker,cat-7,cat-25,Regular,0.7352941176470589,Medium
non-English speaker,cat-11,cat-15,Regular,1.0,Low
non-English speaker,cat-5,cat-2,Regular,0.5882352941176471,Low
English speaker,cat-13,cat-3,Summer,0.0,High
non-English speaker,cat-23,cat-3,Summer,0.08823529411764706,High
non-English speaker,cat-14,cat-22,Regular,0.34411764705882353,High
non-English speaker,cat-6,cat-17,Regular,0.5294117647058824,Medium
non-English speaker,cat-6,cat-17,Regular,0.5882352941176471,Medium
English speaker,cat-14,cat-15,Regular,0.4411764705882353,Low
non-English speaker,cat-8,cat-7,Regular,0.17647058823529413,Low
non-English speaker,cat-14,cat-15,Regular,0.5588235294117647,Low
non-English speaker,cat-14,cat-23,Regular,0.0,Medium
non-English speaker,cat-14,cat-15,Regular,0.20588235294117646,Medium
non-English speaker,cat-16,cat-20,Regular,0.34411764705882353,Low
English speaker,cat-18,cat-7,Regular,0.9117647058823529,Low
