Wife's_age,Wife's_education,Husband's_education,Number_of_children_ever_born,Wife's_religion,Wife's_now_working?,Husband's_occupation,Standard_of_living_index,Media_exposure,Contraceptive_method_used
0.8333333333333334,low-1,high-4,0.3333333333333333,Islam,No,Low-1,High-3,Good,No-use
0.7333333333333333,low-2,high-4,0.5,Islam,No,Low-2,High-4,Good,Short-term
0.36666666666666664,low-1,low-1,0.25,Islam,No,High-3,Low-1,Good,Long-term
0.5,high-4,high-4,0.16666666666666666,Islam,No,Low-2,High-3,Good,Short-term
0.26666666666666666,high-4,high-4,0.08333333333333333,Islam,Yes,High-3,High-3,Good,No-use
0.13333333333333333,high-3,high-4,0.08333333333333333,Islam,No,Low-2,High-3,Good,Long-term
0.0,low-2,low-2,0.25,Islam,No,High-3,Low-1,Good,No-use
0.06666666666666667,low-2,high-4,0.0,Islam,Yes,Low-2,Low-2,Good,Long-term
0.16666666666666666,high-4,high-4,0.0,Islam,No,Low-1,Low-1,Good,No-use
0.3133333333333333,high-4,high-3,0.4166666666666667,Islam,No,Low-2,High-3,Good,Long-term
0.26666666666666666,high-3,high-4,0.0,Islam,No,Low-1,High-3,Good,No-use
0.23333333333333334,high-4,high-4,0.16666666666666666,Islam,No,High-3,High-3,Good,Long-term
0.6,high-4,high-4,0.21666666666666667,Non-Islam,No,High-3,High-3,Good,Short-term
1.0,low-1,low-2,0.3333333333333333,Islam,No,Low-2,Low-2,Good,No-use
0.16666666666666666,high-3,high-3,0.16666666666666666,Islam,No,High-3,High-4,Good,Short-term
0.36666666666666664,high-4,high-4,0.0,Non-Islam,No,Low-1,High-3,Good,Long-term
0.3133333333333333,low-1,high-3,1.0,Islam,No,High-3,High-3,Good,No-use
0.3333333333333333,high-3,high-4,0.0,Islam,No,High-3,High-3,Good,Short-term
0.5666666666666667,high-4,high-4,0.16666666666666666,Islam,Yes,High-3,High-3,Good,No-use
0.8,high-3,high-3,0.4166666666666667,Islam,No,High-3,High-4,Good,No-use
