Wife's_age,Wife's_education,Husband's_education,Number_of_children_ever_born,Wife's_religion,Wife's_now_working?,Husband's_occupation,Standard_of_living_index,Media_exposure,Contraceptive_method_used
1.614029049324879,low-1,high-4,0.4551678965276042,Islam,No,Low-1,High-3,Good,No-use
1.2404112138330088,low-2,high-4,1.1719677335789493,Islam,No,Low-2,High-4,Good,Short-term
-0.12952084963718152,low-1,low-1,0.09676797800193161,Islam,No,High-3,Low-1,Good,Long-term
0.3686362643519786,high-4,high-4,-0.261631940523741,Islam,No,Low-2,High-3,Good,Short-term
-0.5031386851290516,high-4,high-4,-0.6200318590494136,Islam,Yes,High-3,High-3,Good,No-use
-1.0012957991182116,high-3,high-4,-0.6200318590494136,Islam,No,Low-2,High-3,Good,Long-term
-1.499452913107372,low-2,low-2,0.09676797800193161,Islam,No,High-3,Low-1,Good,No-use
-1.2503743561127918,low-2,high-4,-0.9784317775750863,Islam,Yes,Low-2,Low-2,Good,Long-term
-0.8767565206209217,high-4,high-4,-0.9784317775750863,Islam,No,Low-1,Low-1,Good,No-use
-0.32878369523284573,high-4,high-3,0.8135678150532768,Islam,No,Low-2,High-3,Good,Long-term
-0.5031386851290516,high-3,high-4,-0.9784317775750863,Islam,No,Low-1,High-3,Good,No-use
-0.6276779636263417,high-4,high-4,-0.261631940523741,Islam,No,High-3,High-3,Good,Long-term
0.7422540998438487,high-4,high-4,-0.0465919894083374,Non-Islam,No,High-3,High-3,Good,Short-term
2.236725441811329,low-1,low-2,0.4551678965276042,Islam,No,Low-2,Low-2,Good,No-use
-0.8767565206209217,high-3,high-3,-0.261631940523741,Islam,No,High-3,High-4,Good,Short-term
-0.12952084963718152,high-4,high-4,-0.9784317775750863,Non-Islam,No,Low-1,High-3,Good,Long-term
-0.32878369523284573,low-1,high-3,3.322367244732985,Islam,No,High-3,High-3,Good,No-use
-0.25406012813447154,high-3,high-4,-0.9784317775750863,Islam,No,High-3,High-3,Good,Short-term
0.6177148213465586,high-4,high-4,-0.261631940523741,Islam,Yes,High-3,High-3,Good,No-use
1.489489770827589,high-3,high-3,0.8135678150532768,Islam,No,High-3,High-4,Good,No-use
