Whether_of_not_the_TA_is_a_native_English_speaker,Course_intructor,Course,Summer_or_regular_semester,Class_size,Class_attribute
English speaker,cat-5,cat-2,Regular,0.6829268292682927,High
non-English speaker,cat-23,cat-3,Summer,0.36585365853658536,High
non-English speaker,cat-13,cat-1,Regular,0.6097560975609756,High
non-English speaker,cat-22,cat-3,Regular,1.0,Medium
non-English speaker,cat-1,cat-15,Summer,0.4146341463414634,Medium
non-English speaker,cat-18,cat-5,Regular,0.34146341463414637,Low
non-English speaker,cat-15,cat-3,Summer,0.2926829268292683,High
non-English speaker,cat-15,cat-3,Summer,0.36585365853658536,High
non-English speaker,cat-13,cat-1,Regular,0.6097560975609756,High
non-English speaker,cat-6,cat-17,Regular,0.926829268292683,Medium
non-English speaker,cat-15,cat-13,Regular,0.7804878048780488,Medium
non-English speaker,cat-16,cat-19,Regular,0.14634146341463414,High
English speaker,cat-23,cat-3,Summer,0.36585365853658536,High
non-English speaker,cat-23,cat-3,Regular,0.12195121951219512,Medium
non-English speaker,cat-13,cat-1,Regular,0.5853658536585366,Low
non-English speaker,cat-22,cat-1,Regular,0.14634146341463414,Medium
non-English speaker,cat-9,cat-6,Regular,0.0,Medium
non-English speaker,cat-16,cat-20,Regular,0.24390243902439024,Low
non-English speaker,cat-19,cat-4,Regular,0.12195121951219512,Low
non-English speaker,cat-2,cat-10,Regular,0.5365853658536586,Low
